file,word,phoneme,time,duration,F0,F1,F2,F3
ildp15_JPI_20150225_sikitaani_1ac,,x,799.6327584403825,0.39981637922019125,--undefined--,632.1618922918007,1522.9182442490287,3065.0056459206326
ildp15_JPI_20150225_sikitaani_1ac,sikitáànì,ʃ,101.68312845859472,0.8504743226696798,573.1977093622432,1125.4130569698177,1866.4352779002072,2846.7185845697686
ildp15_JPI_20150225_sikitaani_1ac,sikitáànì,i,95.29560214108324,0.9489636879695189,137.41834090830835,215.89571616602223,2139.381214742402,2664.8862686708458
ildp15_JPI_20150225_sikitaani_1ac,sikitáànì,k,111.01059265646806,1.0521167853682944,--undefined--,557.3935141616206,2011.8588129520338,2777.0179432612504
ildp15_JPI_20150225_sikitaani_1ac,sikitáànì,i,75.51983267408646,1.1453819980335718,151.59298853088944,305.67204462352345,1830.6816015262334,2190.4007129409297
ildp15_JPI_20150225_sikitaani_1ac,sikitáànì,t,241.27613856484476,1.3037799836530373,--undefined--,389.10934254122367,1733.538864447648,3099.4236945739126
ildp15_JPI_20150225_sikitaani_1ac,sikitáànì,áà,254.89234378960202,1.5518642248302608,131.84723120760682,754.9545094128414,1872.9952884485915,2680.8918351786533
ildp15_JPI_20150225_sikitaani_1ac,sikitáànì,n,255.84777571932315,1.8072342845847233,--undefined--,314.5783872920037,1833.9221400637434,2886.597217076256
ildp15_JPI_20150225_sikitaani_1ac,sikitáànì,ì,83.10367065641344,1.9767100077725916,--undefined--,619.0248202972144,1719.352387740571,2693.7034406250323
ildp15_JPI_20150225_sikitaani_1ac,,x,1097.552331448235,2.567038008824916,--undefined--,927.7277894582006,2370.3109092232944,3327.6100155636454
ildp15_JPI_20150225_sikitaani_1ac,sikitáànì,ʃ,199.8934974086386,3.2157609232533524,--undefined--,1023.77110066917,2139.395785902537,2624.228859494456
ildp15_JPI_20150225_sikitaani_1ac,sikitáànì,i,55.86525483209171,3.3436402993737175,132.6043099614622,287.30170046489627,2099.247013695099,2833.7975087835275
ildp15_JPI_20150225_sikitaani_1ac,sikitáànì,k,170.58440422774933,3.4568651289036385,--undefined--,899.6202492856556,1928.2255151076413,3156.2500223090833
ildp15_JPI_20150225_sikitaani_1ac,sikitáànì,i,82.52362663686652,3.583419144335946,128.7632256900825,287.50788034391167,2123.3399283095905,3204.8870444940826
ildp15_JPI_20150225_sikitaani_1ac,sikitáànì,t,259.92771409714965,3.7546448147029543,--undefined--,1232.4554463506336,2265.4470067746684,3413.8266735915468
ildp15_JPI_20150225_sikitaani_1ac,sikitáànì,áà,218.46682865904478,3.9938420860810515,123.62682626357675,734.5189412691843,1771.3886215693492,2512.0220478521865
ildp15_JPI_20150225_sikitaani_1ac,sikitáànì,n,169.9870846234397,4.188069042722294,84.86748468374842,259.34095987479856,1906.9997778219226,3695.010832277404
ildp15_JPI_20150225_sikitaani_1ac,sikitáànì,ì̥,162.42019650798233,4.354272683288005,--undefined--,1148.263761109803,2560.336137136533,3592.3571549195544
ildp15_JPI_20150225_sikitaani_1ac,,x,1674.5542845664988,5.272759923825245,--undefined--,816.833021445162,1585.2954037733905,2730.4651212542435
ildp15_JPI_20150225_sikitaani_1ac,kíí=,k,103.56368204639298,6.161818907131691,--undefined--,939.0322787827971,2689.548990525996,3163.035626079888
ildp15_JPI_20150225_sikitaani_1ac,kíí=,íí,61.51074742373552,6.244356121866756,146.02069782398226,283.943926850965,2046.1603196832739,2612.967352694289
ildp15_JPI_20150225_sikitaani_1ac,nàkàrɨ́ɨ́yàà,n,95.1265996594719,6.322674795408359,136.1957419846286,272.8685995132856,1787.657995620457,2508.0028695429332
ildp15_JPI_20150225_sikitaani_1ac,nàkàrɨ́ɨ́yàà,à,85.4290857236366,6.412952638099913,121.59061052788496,357.3407519526168,2178.475608264622,2956.8983902179593
ildp15_JPI_20150225_sikitaani_1ac,nàkàrɨ́ɨ́yàà,k,68.79628184274455,6.490065321883105,--undefined--,1586.8897598075998,2241.5876504685775,3068.1351493042152
ildp15_JPI_20150225_sikitaani_1ac,nàkàrɨ́ɨ́yàà,à,77.34303757345273,6.563134981591203,123.57947047233752,426.1300912286214,1780.4990998756314,2446.210256767951
ildp15_JPI_20150225_sikitaani_1ac,nàkàrɨ́ɨ́yàà,r,112.22531044163642,6.657919155598748,--undefined--,496.2129064041879,2245.907737346198,2690.6708388371067
ildp15_JPI_20150225_sikitaani_1ac,nàkàrɨ́ɨ́yàà,ɨ́ɨ́,98.74085562406077,6.7634022386315955,137.42718587124668,299.96850871700656,1865.1321832867882,2318.4866624859656
ildp15_JPI_20150225_sikitaani_1ac,nàkàrɨ́ɨ́yàà,y,74.13122331740584,6.849838278102329,135.19558292077326,315.36033564518976,2222.4561397623547,2366.4592331736153
ildp15_JPI_20150225_sikitaani_1ac,nàkàrɨ́ɨ́yàà,àà,77.39410394625423,6.925600941734159,116.76712550104581,645.7965124494046,1743.763849556723,2485.23861064562
ildp15_JPI_20150225_sikitaani_1ac,nuu=,n,121.31020961610429,7.024953098515338,115.09444029343908,250.25200102209743,2180.503205057041,3017.3639014899713
ildp15_JPI_20150225_sikitaani_1ac,nuu=,uu,101.81483783551838,7.13651562224115,123.47432105420897,287.4568400805411,1200.07433393706,2775.9216848349147
ildp15_JPI_20150225_sikitaani_1ac,sikitáànì.,ʃ,84.24293836421359,7.229544510341016,--undefined--,1291.4213205597448,2440.4008661622997,3537.915536015017
ildp15_JPI_20150225_sikitaani_1ac,sikitáànì.,i,55.25573414616414,7.299293846596205,145.92123295074015,294.862806753801,2243.9252651235665,2701.639912038283
